Bug ID,Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels,Screenshot,Reverification Note
11,BMS Alert and Vehicle Odometer Alert: list never shows a newly created record,Bug,Trackofy,Settings - Alerts,"Creating a BMS Alert or Vehicle Odometer Alert shows a success toast and closes the dialog, but the list still reads 'No alerts found' even after a full page reload.",Web,V6.2,Staging,1. Open Settings > Alert > BMS Alert (or Vehicle Odometer Alert). 2. Create a new alert configuration. 3. Observe the success toast. 4. Reload the page and check the list.,The newly created alert should appear in the list.,"A success toast appears but the list still shows 'No BMS alerts found' / 'No vehicle odometer alerts found', even after a full reload.",Major,High,"settings,alerts,bms,odometer,data-integrity,functional",Bug_Report_Screenshots/bug_10_11_alerts.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 for both BMS Alert and Vehicle Odometer Alert.
12,Leaving the Create Route page redirects to Dashboard instead of Route Management,Bug,Trackofy,Settings - Route Management,Clicking Save Route (or Cancel on the Custom Route sub-tab) navigates to /home (Dashboard) instead of back to /settings/route.,Web,V6.2,Staging,1. Open Settings > Route Management > Create Route. 2. Fill in a valid route and click Save Route (or Cancel with no changes). 3. Observe the resulting page.,The app should return to Route Management (/settings/route) after Save or Cancel.,"The app navigates to /home (the main Dashboard) instead, in both the Save and Cancel cases.",Major,Medium,"settings,route-management,navigation,ui",Bug_Report_Screenshots/bug_12_12b_12c_13_route_driver.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 for both Save Route and Cancel.
13,Route Name is not actually enforced as mandatory,Bug,Trackofy,Settings - Route Management,Leaving Route Name blank while saving a route (with valid origin/destination) succeeds; the app silently defaults the name to 'My Route' instead of rejecting the submission.,Web,V6.2,Staging,1. Open Settings > Route Management > Create Route. 2. Fill valid origin/destination but leave Route Name blank. 3. Save.,"The form should reject the submission and require a route name, per the form's own 'mandatory' hint text.","The route saves successfully with the name silently defaulted to 'My Route', contradicting the documented mandatory requirement.",Minor,Medium,"settings,route-management,validation,data-integrity",Bug_Report_Screenshots/bug_12_12b_12c_13_route_driver.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
14,Driver create form: Address field is silently required,Bug,Trackofy,Settings - Driver,"The Create Driver button stays disabled until Address is filled, but Address has no visible required-field asterisk, unlike Name/Mobile/Email/DOB/DL.",Web,V6.2,Staging,"1. Open Settings > Driver > Create Driver. 2. Fill only the visibly-marked required fields (those with an asterisk), leaving Address blank. 3. Observe the Create button.","Every field required for the button to enable should be visibly marked as required, or the button should enable without it.","Create Driver stays disabled until Address is filled, with no visible indication that Address is required.",Minor,Low,"settings,driver,validation,ui,usability",Bug_Report_Screenshots/bug_14_15_driver_create.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
15,Driver create form: Address field visually appears empty after typing,Bug,Trackofy,Settings - Driver,"The multi-line Address textbox's visible viewport scrolls to show the last line after typing, making the field look empty when only one line was entered.",Web,V6.2,Staging,"1. Open Settings > Driver > Create Driver. 2. Type a short, single-line address into the Address field. 3. Observe the field's visible contents.",The field should visibly show the entered text.,"The typed text is present in the DOM but the field's visible viewport shows blank space, appearing empty.",Minor,Low,"settings,driver,ui,usability",Bug_Report_Screenshots/bug_14_15_driver_create.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- and more severe than originally described: the typed text rendered fully invisible in the textarea, not just the lines past the first."
12b,Driver list export downloads a file misnamed 'Unit_List',Bug,Trackofy,Settings - Cross-cutting,"Exporting the Driver list to CSV produces correct driver data inside the file, but the downloaded filename reads Unit_List_(date).csv.",Web,V6.2,Staging,1. Open Settings > Driver. 2. Use the Export action on the driver list. 3. Check the downloaded filename.,The exported file should be named after the Driver dataset (e.g. Driver_List_(date).csv).,"The file contains correct driver data but is named Unit_List_(date).csv, a name belonging to a different module.",Minor,Low,"settings,driver,export,ui",Bug_Report_Screenshots/bug_12_12b_12c_13_route_driver.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
12c,Create Driver: raw SQL truncation error leaks through the API when email is too long,Bug,Trackofy,Settings - Driver,"Submitting Create Driver with an email address around 31+ characters returns an HTTP 500 with a raw, unhandled SQL Server truncation error, with no client-side length validation to catch it first.",Web,V6.2,Staging,1. Open Settings > Driver > Create Driver. 2. Fill a valid-looking form with an email address 31+ characters long. 3. Submit.,"The form should validate email length client-side, or the server should return a clean validation error.",HTTP 500 from POST /api/add-driver with the raw SQLSTATE[42000] truncation error (table/column names) in the response body.,Major,High,"settings,driver,sql-error,information-disclosure,api",Bug_Report_Screenshots/bug_12_12b_12c_13_route_driver.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- identical SQLSTATE truncation error every time; also observed the same class of bug triggers off an over-length Name value, truncating at the name column instead -- worth noting as a related manifestation, not a separate bug."
17,"Vehicle Summary, Trip Report and Cumulative Distance fail with a raw SQL error for any date range whose monthly telemetry table doesn't exist",Bug,Trackofy,Reports,"These three reports' queries reference a monthly telemetry partition table directly; when no partition exists for the requested month, the query throws a raw SQL 500 instead of returning zero rows -- reproduces for any month with no data, not one isolated case.",Web,V6.2,Staging,1. Open Reports > Standard > Vehicle Summary (or Trip Report / Cumulative Distance). 2. Select a date range in a month with no telemetry data for the account. 3. Generate.,The report should return a clean 'no data' state for a date range with no telemetry.,HTTP 500 with a raw SQLSTATE[42S02] 'Invalid object name' error (referencing the specific missing monthly partition table) in the response body.,Major,High,"reports,sql-error,information-disclosure,data-provisioning,api",Bug_Report_Screenshots/bug_17_18_19_20_reports.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 across all three affected report types (Vehicle Summary, Trip Report, Cumulative Distance)."
18,"Fleet Summary KPI cards can display a stale value from an earlier, slower request",Bug,Trackofy,Reports,The KPI cards are populated from a separate API call with no request-sequencing guard; a slower earlier all-vehicles request can overwrite the cards with stale data after a faster later single-vehicle request has already rendered correctly.,Web,V6.2,Staging,"1. Open Reports > Standard > Fleet Summary. 2. Generate for all vehicles (slow). 3. Immediately switch to and generate for a single vehicle (fast, resolves first). 4. Wait for the slow request to also resolve.",The KPI cards should reflect the currently-selected filter/report only.,"The KPI cards briefly show the correct single-vehicle value, then get overwritten back to the stale all-vehicles value once the slower request resolves.",Major,High,"reports,fleet-summary,race-condition,kpi,functional",Bug_Report_Screenshots/bug_17_18_19_20_reports.png,"Reverified 2026-09-07 (live 3x pass): NOT REPRODUCED this pass -- the app now blocks the UI action needed to create the interleaving (the Filters/Generate control stays non-interactive until the in-flight slow request resolves), so the described request race could not be triggered via the UI across 6 attempts using 2 different methodologies. Possibly fixed since the original finding, or requires bypassing the UI with raw concurrent API calls to reach -- flagged for follow-up rather than closed outright."
19,A failed report-generation request leaves the UI permanently stuck on 'Generating...',Bug,Trackofy,Reports,"If the report-table API call fails at the network level, the Generate button switches to 'Generating...' and never recovers -- no error, no retry, no timeout handling.",Web,V6.2,Staging,1. Open any Standard Report. 2. Simulate/encounter a network failure during Generate (e.g. connection drop). 3. Observe the Generate button.,"The UI should show an error/retry state after a failed request, not remain stuck loading indefinitely.",The button permanently shows 'Generating...' with no error message or retry affordance; the only escape is leaving the report form.,Major,High,"reports,error-handling,ui,functional",Bug_Report_Screenshots/bug_17_18_19_20_reports.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
20,"Fleet Summary with all vehicles selected hangs on 'Generating...' forever, even though both backend calls succeed",Bug,Trackofy,Reports,"Selecting all vehicles via 'Select All' for Fleet Summary and generating never renders a result, despite both underlying API calls returning HTTP 200 -- the frontend never transitions out of the loading state.",Web,V6.2,Staging,1. Open Reports > Standard > Fleet Summary. 2. Click 'Select All' to select all vehicles. 3. Click Generate. 4. Wait 45+ seconds.,The report/KPI cards should render using the successfully-returned data.,"The Generate button stays permanently on 'Generating...'; the table shows a static loading skeleton with 0 real rows bound, despite both backend calls succeeding.",Major,High,"reports,fleet-summary,select-all,ui,functional,blocker",Bug_Report_Screenshots/bug_17_18_19_20_reports.png,"Reverified 2026-09-07 (live 3x pass): NOT REPRODUCED this pass -- an initial false positive (a stale ""Generating..."" label sitting in a closed, off-screen Filters drawer) was ruled out; on proper re-test, all-vehicles Fleet Summary rendered correctly with real data in 2.3-6.9s across 6 attempts (3 all-vehicles + 3 single-vehicle), no hang, no stuck skeleton rows, no zero pagination. Possibly fixed since the original finding."
21,KPI Settings' 'Select All' paradoxically deselects down to the protected minimum when already fully selected,Bug,Trackofy,Home,"Clicking 'Select All' in Home's KPI Settings while already at full selection (10/10) drops the selection down to the protected minimum (6) instead of staying at 10, with no relabeling of the button.",Web,V6.2,Staging,1. Open Home > KPI Settings with all 10 KPIs already selected. 2. Click 'Select All' again. 3. Click Save. 4. Observe the header KPIs.,Clicking 'Select All' while already fully selected should be a no-op (stay at 10 selected).,"The selection drops to the protected minimum of 6, silently removing 4 KPIs once Save is clicked.",Major,Medium,"home,kpi,settings,data-loss,functional",Bug_Report_Screenshots/bug_21_22_23_home.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
22,Two of a Group's five status chips ('Active' and 'No Data') always filter Fleet to zero vehicles,Bug,Trackofy,Home,"On Home's Groups tab, clicking the 'Active' or 'No Data' status chip always filters Fleet to 0 vehicles regardless of the group or the chip's own displayed count; Running/Idle/Stopped work correctly.",Web,V6.2,Staging,1. Open Home > Groups tab. 2. Click the 'Active (N)' or 'No Data (N)' chip on any group card. 3. Observe the filtered Fleet list.,"Clicking a status chip should filter Fleet to the matching vehicles, consistent with the chip's own count.","Fleet always shows 0 vehicles for 'Active' and 'No Data' chips, confirmed across multiple groups and both large and single-vehicle samples.",Major,High,"home,groups,filter,fleet,functional",Bug_Report_Screenshots/bug_21_22_23_home.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3, tested across 2 different groups x 2 chips per run (6 combinations total, all 3 runs)."
23,A 'Map only' GeoLink still exposes the vehicle's identifying registration number to anonymous visitors,Bug,Trackofy,Home - GeoLinks,Creating a 'Map only' GeoLink (promised as 'vehicle location without details') and opening its public URL in an unauthenticated context shows the vehicle's full registration/identifying string anyway.,Web,V6.2,Staging,"1. Open Home > GeoLinks. 2. Create a 'Map only' share link for a vehicle. 3. Open the real public URL in a fresh, unauthenticated browser context (no login/cookies). 4. Observe the page content.","A 'Map only' link should show only an anonymous location pin, with no vehicle-identifying details.","The vehicle's full registration/identifying string is shown directly on the page, alongside status and distance -- contradicting the access level's own stated promise.",Major,High,"home,geolinks,security,information-disclosure",Bug_Report_Screenshots/bug_21_22_23_home.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
25,Closing the Create User wizard without clicking Submit still permanently creates the user,Bug,Trackofy,Administrator,"Step 1 to Step 2 of the Create User wizard makes a real, immediate save API call; closing the wizard at any later point without ever clicking Submit does not roll back the already-created user.",Web,V6.2,Staging,1. Open Administrator > Create User. 2. Fill Step 1 and click Next Step. 3. Progress through further steps without configuring menu/permissions if desired. 4. Close the wizard via the 'X' icon instead of clicking Submit. 5. Check User Management.,"A user should only be considered created after the final Submit succeeds, per the module's own design intent.","A real, permanent user account is created with default/empty authorization the moment Step 1's Next Step is clicked, regardless of whether the wizard is ever completed or submitted.",Major,High,"administrator,create-user,wizard,security,data-integrity",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
26,"'Add Group' on the Create User wizard re-fetches its static menu list from the API on every click, with no loading indicator or debounce",Bug,Trackofy,Administrator,"Clicking 'Add Group' in Step 2 always re-fetches an effectively static menu list (multi-second unindicated delay) and has no debounce, so rapid clicks stack multiple duplicate dialogs.",Web,V6.2,Staging,"1. Open Administrator > Create User wizard, Step 2 (Menu Access). 2. Click 'Add Group' once and time the delay before the dialog appears. 3. Click 'Add Group' multiple times rapidly. 4. Count open dialogs.",The menu list should be fetched once and cached/reused; the button should be disabled or debounced while a fetch/dialog-open is in progress.,Every click re-issues the same API call with no loading feedback; rapid clicks stack one independent dialog per click (confirmed 1 -> 4 dialogs after 3 rapid clicks).,Minor,Medium,"administrator,create-user,performance,ui,debounce",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 for the stacking defect; the open-delay is confirmed present every time (1.16-1.29s) though measured smaller than the originally reported ~5s.
27,"Step 4's unit selector is a separate, unfiltered picker over the entire fleet, disconnected from Step 1's vehicle scope (confirmed harmless, UX-only)",Bug,Trackofy,Administrator,"Step 4 (Unit Permission) lists the entire fleet regardless of Step 1's vehicle scope, with no visual indication of which options are actually in scope. Confirmed via a follow-up authorization test that the resulting permission has no real effect outside Step 1's scope.",Web,V6.2,Staging,"1. Open Administrator > Create User wizard. 2. In Step 1, select only one vehicle. 3. In Step 4, observe the unit selector's full option list.",Step 4's unit list should be filtered to (or visually flag) Step 1's selected vehicle scope.,Step 4 shows the entire fleet (30+ other vehicles never chosen in Step 1) with no visual distinction of in-scope vs out-of-scope options.,Minor,Low,"administrator,create-user,ux,wizard",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,"Live page captured; confirmed harmless from a security standpoint via a prior effective-authorization test (Phase 8) -- UX-only finding, not re-triggered this pass."
28,"[CRITICAL] Clicking 'Edit' on a user row opens a completely different, unrelated user's data",Bug,Trackofy,Administrator,"Clicking a specific, searched-down-to-one user row's Edit action opens the Edit dialog pre-bound to a different, unrelated existing username instead of the clicked user, reproduced across independent sessions with a clean-overlay-state check ruling out a stale dialog.",Web,V6.2,Staging,1. Create or identify a specific sub-user in Administrator > User Management. 2. Search down to exactly that one matching row. 3. Click that row's Edit user action. 4. Observe the dialog title/bound user.,The Edit dialog should open bound to the exact user whose row's Edit action was clicked.,"The dialog opens titled for a different, unrelated pre-existing username ('Tarunn'), confirmed reproducible across independent sessions with zero pre-existing overlay panes before the click.",Critical,Highest,"administrator,edit-user,data-integrity,security,access-control",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3, including the stale-dialog-artifact control (0 overlay panes immediately before the Edit click, exactly 1 immediately after) ruling out the alternate explanation in every attempt."
29,Menu Access is only enforced by hiding nav items -- direct URL navigation reaches modules a sub-user was never granted,Bug,Trackofy,Administrator,"A sub-user's Menu Access is implemented as client-side nav-item hiding only; navigating a sub-user directly to /settings/driver or /administrator by URL loads the real page shell, including a functional Administrator/User Management page for a sub-user never granted Administrator.",Web,V6.2,Staging,1. Create a sub-user with a menu group granting only Home/Dashboard/Tracking. 2. Log in as that sub-user. 3. Navigate directly to /administrator (or /settings/driver) by URL.,"Direct URL navigation to an ungranted module should be blocked/redirected (a real route guard), not just hidden from the nav.",The real page shell loads normally for both URLs; /administrator in particular loads a fully functional User Management page (showing '0 users') for a sub-user who should never be able to reach it under any configuration.,Major,High,"administrator,authorization,security,route-guard",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
30,General Permission category 'User' is relabelled 'Global' between the Create wizard and the Permissions dialog,Bug,Trackofy,Administrator,"The Create User wizard's Step 3 General Permission category named 'User' is the same category, on the same account/user, labelled 'Global' when reopened via the row's Permissions action.",Web,V6.2,Staging,"1. Open Administrator > Create User wizard, Step 3, and note the 'User' General Permission category. 2. For the same user, open the row's Permissions (manage_accounts icon) action's General Permission tab. 3. Compare category labels.",The same permission category should be labelled consistently across both surfaces.,"The identical category is labelled 'User' during creation and 'Global' when re-opened via Permissions, for the same user/account.",Minor,Low,"administrator,permissions,consistency,ui",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
31,Unicode (non-Latin) characters in a username are corrupted to literal '?' characters,Bug,Trackofy,Administrator,"Creating a sub-user with a Chinese-character username results in the displayed username becoming literal '?' characters after creation and a page reload -- real character corruption, not a font-rendering issue.",Web,V6.2,Staging,1. Open Administrator > Create User. 2. Enter a username containing non-Latin (e.g. Chinese) characters. 3. Complete creation and reload the page. 4. Observe the username in User Management.,The original Unicode username should be preserved and displayed correctly.,"The Chinese characters are replaced with literal '?' characters, a classic sign of a text-encoding mismatch somewhere in the save/reload/render pipeline.",Major,Medium,"administrator,create-user,unicode,data-integrity,encoding",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
32,'User already exists' error for common usernames the account doesn't actually have -- appears globally scoped with a misleading message,Bug,Trackofy,Administrator,"Creating sub-users named 'test', 'admin', or 'demo' in an account with no such existing users all fail with 'user already exists' (app's own typo: user_alread_exist), while a more specific name is accepted normally; the underlying save call returns HTTP 200 even for the rejected names.",Web,V6.2,Staging,"1. In an account with no users named 'test'/'admin'/'demo', open Administrator > Create User. 2. Attempt to create a user named 'test' (then 'admin', then 'demo'). 3. Observe the error and the same-account user list.","Either the check should be scoped per-account, or the error message should clarify the collision is with a username taken elsewhere on the platform.","All three common names are rejected as 'already exists' despite not existing in this account, suggesting a global (not per-account) uniqueness check with a misleading, account-scoped-sounding error message.",Minor,Medium,"administrator,create-user,validation,usability,error-message",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 (9/9 individual attempts across ""test""/""admin""/""demo"") -- confirmed HTTP 200 with status:false, message:""user_alread_exist"" [sic] every time."
33,[Low] No show/hide (eye) toggle on the Password / Confirm Password fields in the Create User wizard,Bug,Trackofy,Administrator,"Step 1's Password and Confirm Password fields are plain type=password inputs with no visibility-toggle control, inconsistent with the User Management table's own working password-reveal toggle per row.",Web,V6.2,Staging,"1. Open Administrator > Create User wizard, Step 1. 2. Locate the Password and Confirm Password fields. 3. Look for a visibility-toggle (eye) icon.","A visibility toggle should be available, consistent with the same capability already present in the User Management table.","No visibility toggle exists on either field in the wizard, though the same capability exists elsewhere in the module (User Management's per-row 'Show password').",Minor,Low,"administrator,create-user,usability,password",Bug_Report_Screenshots/bug_25_26_27_28_29_30_31_32_33_administrator.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
34,"At mobile viewport widths, the Account menu is not reachable through any UI control",Bug,Trackofy,Miscellaneous Pages,"At a 390x844 mobile viewport, the desktop Account-menu avatar button becomes invisible and no alternative control opens My Profile, Support, Change Password, Language, or Sign Out.",Web,V6.2,Staging,1. Set the browser viewport to 390x844 (or a similar phone size). 2. Log in and look for the Account menu (avatar button). 3. Try the hamburger/menu toggle and any other visible control.,"A mobile-appropriate control should provide access to My Profile, Support, Change Password, Language, and Sign Out.","The desktop avatar button is invisible; the mobile hamburger only toggles the primary nav list. No control anywhere in the mobile layout opens the Account menu items, including Sign Out.",Major,High,"misc,account-menu,responsive,mobile,security,ux",Bug_Report_Screenshots/bug_34_misc_account.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
35,"[CRITICAL] Raise Support Ticket cannot be submitted -- vehicle counter never updates, and Submit stays permanently disabled on a fully valid form",Bug,Trackofy,Miscellaneous Pages - Support,"The 'X selected' vehicle counter in Raise Support Ticket never updates from '0 selected' despite real selections registering at the component level, and the Submit Ticket button never enables even with every field genuinely valid (no visible errors anywhere), verified across four different input methods.",Web,V6.2,Staging,"1. Open Profile > Support > Raise Ticket. 2. Select one or more vehicles, a Category, a Severity, and enter a valid Comment, Email, and Mobile. 3. Observe the selected-count indicator and the Submit Ticket button.","The selected-count indicator should reflect the real selection, and Submit Ticket should enable once the form is genuinely valid.","The counter stays at '0 selected' regardless of real selection, and Submit Ticket never enables even on a fully valid form -- the ticket cannot be submitted through the UI.",Critical,Highest,"misc,support,raise-ticket,functional,blocker",Bug_Report_Screenshots/bug_35_36_support.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
