Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels
Admin Panel Create Dealer: submitting an invalid PIN Code silently does nothing -- Submit reports enabled but fires no request and shows no error,Bug,Trackofy,Admin Panel / Manage Dealer,"With every other field validly filled, injecting a non-numeric value directly into either PIN Code field (bypassing the field's own real-keystroke character filter, which correctly blocks non-numeric input during normal typing) and clicking the still-enabled Create Dealer button produces zero observable effect: no create-dealer API request fires, no toast or inline error appears, the dialog just stays open exactly as before. A fully valid submission in the same session correctly fires the request and succeeds. Note: this specific scenario is not reachable through normal typing (the field's keystroke filter blocks it) -- it would require a non-browser API client or a similar direct-value-injection method, not a real user typing into the form.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open User > Manage Dealer > Create Dealer.
2. Fill every field validly, then set a PIN Code field to a non-numeric value via direct DOM/value injection (not achievable by typing normally).
3. Click Create Dealer (confirmed enabled) and observe network activity and any on-screen feedback.","Either the button should be disabled for an invalid PIN Code, or a clear validation error should appear when Submit is clicked with one.","Clicking Submit with an invalid PIN Code produces zero network activity and zero visible feedback -- confirmed live 2x, against a control confirming a valid submission works normally in the same session.",Low,Low,admin-panel create-dealer silent-failure not-user-reachable
"CAN Report page has no PDF export button, unlike its sibling Alerts/Unit/Settings pages",Bug,Trackofy,CAN Module / Report,"After generating a CAN report with real results, the export row shows only Export report to Excel, Export report to CSV, and Copy report content -- no PDF export at all. Confirmed live that CAN Alerts and CAN Unit both have a working Export to PDF button in the identical shared export-row component.",Web,V6.2,Staging,"1. Log in to a CAN-entitled account and open CAN > Reports.
2. Select a protocol and units, generate a report with real results.
3. Inspect the export row for a PDF export option, and compare against CAN > Alerts or CAN > Unit's own export row.","CAN Report should offer the same Excel/CSV/PDF export options as its sibling CAN pages.","Only Excel, CSV, and Copy are present -- no PDF export exists on this page, unlike Alerts and Unit.",Low,Medium,can-module report feature-parity missing-export
Admin Panel Profile: the Copy icon (Address to Billing Address) in Update Profile does nothing,Bug,Trackofy,Admin Panel / Profile,"The Update Profile dialog has a copy icon between the Address and Billing Address sections. Clicking it produces zero observable effect -- every field's value (Address, PIN Code, City, State, Country) is byte-identical before and after the click; the Billing Address section is never overwritten with the Address section's values.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open My Profile, then the main edit (pencil) icon to open Update Profile.
2. Note the Address section's values.
3. Click the copy icon between Address and Billing Address, then compare the Billing Address section's values.","Clicking the copy icon should copy the Address section's values into the Billing Address section.","Every field is byte-identical before and after the click -- the copy icon has no effect at all.",Medium,Medium,admin-panel profile broken-feature non-functional-control
Admin Panel Profile: Update Profile Picture crashes with a raw PHP/GD error for a technically-imperfect but browser-decodable PNG,Bug,Trackofy,Admin Panel / Profile,"Uploading a minimal PNG that every browser tested decodes and displays fine, and that the app's own client-side file picker accepts with no complaint, crashes the server on Update Profile Image: HTTP 500 from /api/update-profile with the raw body {""status"":false,""message"":""Something went wrong"",""data"":{""error"":""imagecreatefrompng(): gd-png: fatal libpng error: IDAT: incorrect data check"",""line"":3461}}. The UI shows only a generic 'Internal Server Error' toast, but the raw PHP function name, library error, and source line are all present in the actual API response. A genuinely valid PNG uploaded immediately afterward via the identical flow succeeded cleanly, confirming this is a real gap in the server's image-processing error handling, not a bad test file.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open My Profile.
2. Click the camera icon (Update Profile Picture) and choose a PNG file that is valid enough for a browser to display but has a subtly malformed data stream.
3. Click Update Profile Image and inspect the Network tab response.","The server should validate/re-encode the image safely and either accept it or return a clean, generic validation error -- never a raw PHP/library error with internal details.","The server returns a raw PHP/GD error (function name, library message, source line) in the API response body, surfaced to the user only as a generic 'Internal Server Error' toast.",Medium,Medium,admin-panel profile information-disclosure raw-error image-upload
Admin Panel Profile: Address/City/State/Country/PIN Code fields have zero input validation -- live account data already contains garbage values,Bug,Trackofy,Admin Panel / Profile,"Typing pure digits into the City field via real keystrokes registers completely with no character filtering or format validation. The account's own real, currently-saved profile data already contains exactly this class of garbage: Country='223232313213123' (a number), Billing PIN Code='67238052e23232' (mixed alphanumeric), Billing City='6723805sdsd' (garbage), Billing State='6723805' (a number), Billing Country='6723805' (a number) -- proving this isn't just a client-side gap, since this data is already persisted in the real account record.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open My Profile, then the main edit (pencil) icon to open Update Profile.
2. Type pure digits into the City field and observe whether they're accepted.
3. Separately, inspect the real (pre-existing) values already in the Country/Billing PIN Code/Billing City/Billing State/Billing Country fields.","Address-shaped fields (City, State, Country) should reject or filter numeric input; PIN Code should be numeric-only with a fixed length. None of this should be reachable via normal use, and no garbage should already exist in saved data.","Digits are accepted into City with no validation, and the real saved profile already contains numeric/garbage values in Country, Billing PIN Code, Billing City, Billing State, and Billing Country -- confirming no validation exists anywhere in the pipeline.",High,High,admin-panel profile validation-gap data-integrity
Admin Panel: Brand/Model images served over plain HTTP from an HTTPS page fail to load everywhere,Bug,Trackofy,Admin Panel / Configuration,"Every brand image URL is http://beta2.trackofy.com/... (plain HTTP) while the app itself runs entirely on https://staging.trackofy.com and its own API calls go to https://beta2.trackofy.com -- the classic mixed-content pattern, which browsers silently block/fail to load. Checked all 6 images on the Brand list (5 pre-existing plus 1 created live): all 6 report naturalWidth/naturalHeight of 0 (a definitively broken load), despite the browser reporting the load complete. Independently confirmed by the user's own manual testing that the Edit Brand wizard's image preview also fails to load the existing logo.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open Configuration > Manage Brand.
2. Observe any brand row's logo image in the table.
3. Open Edit on any brand and observe its image preview.","Brand/Model logo images should load and display correctly in both the list table and the Edit wizard.","Every brand image (6/6 checked) fails to load -- naturalWidth/naturalHeight of 0 -- because its URL is served over plain HTTP instead of HTTPS, and the same failure was independently confirmed in the Edit wizard.",High,High,admin-panel mixed-content broken-image http-vs-https
Admin Panel Documentation Create Category: Create button has no required-field gating at all,Bug,Trackofy,Admin Panel / Configuration,"Opening Documentation's Create Category dialog fresh (Category Name*, Slug*, Sort Order*, Status* all marked required) shows the Create button already enabled with every field completely empty -- unlike the equivalent Create Brand, Create Model, and Create Menu dialogs in the same Configuration tab, which all correctly keep Submit disabled until required fields are filled.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open Configuration > Documentation.
2. Click Add/Create to open the Create Category dialog.
3. Without filling any field, check whether the Create button is enabled.","Create should stay disabled until every field marked with a required asterisk is filled, matching the sibling Brand/Model/Menu forms.","Create reports as enabled immediately on dialog open, before any field is touched.",Medium,Medium,admin-panel configuration missing-validation inconsistent-behavior
Admin Panel: /admin/billing/dashboard silently redirects to /admin/dashboard,Bug,Trackofy,Admin Panel / Billing,"Navigating directly to /admin/billing/dashboard -- a real, linked destination from the panel's own nav/menus -- silently lands on the generic /admin/dashboard instead, with no error or explanation. Same symptom already reported and now fixed for Configuration's Manage Brand/Manage Model/Documentation and the top-level Menu page; this route was not part of that original list and still shows the same broken pattern.",Web,V6.2,Staging,"1. Log in to the Admin Panel.
2. Navigate directly to /admin/billing/dashboard (or via any in-app link pointing to it).
3. Observe the final URL and rendered page.","Should load a real Billing Dashboard page.","Silently redirects to /admin/dashboard instead, confirmed live 3x via an automated test loop.",Low,Medium,admin-panel billing broken-route silent-redirect
Admin Panel: inconsistent sign-out control labels between desktop and mobile,Bug,Trackofy,Admin Panel / Navigation,"Two separate, redundant sign-out controls exist with different labels. The desktop-visible one is the profile icon (top-right) dropdown, which shows a red 'Sign Out' option -- confirmed working (session is genuinely invalidated server-side afterward). A second, separate nav item literally labeled 'Logout' also exists but is CSS-gated mobile-only, invisible at any standard desktop width and only reachable via a hamburger toggle that itself only appears at narrow (<=768px) viewports.",Web,V6.2,Staging,"1. Log in to the Admin Panel at a standard desktop width and click the profile icon (top-right) -- note the 'Sign Out' label.
2. Resize the browser to a mobile width (e.g. 390px) and open the hamburger nav menu -- note the 'Logout' label on the equivalent control.","The sign-out control should use one consistent label regardless of viewport.","Two redundant controls exist with two different labels ('Sign Out' on desktop, 'Logout' on mobile), confirmed live via DOM inspection at both widths and independently via screenshot.",Low,Low,admin-panel ui-consistency naming cosmetic
"Admin Panel Profile: old photo reportedly still shown in ""profile menu"" after updating profile picture (reported by user, not yet independently reproduced)",Bug,Trackofy,Admin Panel / Profile,"User reported that after successfully updating the profile picture, the old photo is still visible in what they described as the ""profile menu"" instead of the new one. Three separate automated reproduction attempts did not reproduce this: (1) upload new photo then navigate away and back via the profile-icon menu with no hard reload -- the avatar src picked up the new cache-busting timestamp correctly; (2) upload new photo then do a full hard page reload -- same correct result; (3) the profile dropdown menu opened from the header person icon (containing ""My Profile""/""Sign Out"") was checked directly and contains zero <img> elements on any page, so it cannot itself be showing a stale photo. Needs the user to clarify exactly which element shows the old photo, and whether it needs a full refresh or a different tab/device to reproduce, before this can be independently confirmed.",Web,V6.2,Staging,"1. Log in to the Admin Panel and open My Profile.
2. Update the profile picture to a new image and confirm the success toast.
3. Open the ""profile menu"" (exact element not yet pinned down) and observe whether it shows the old or new photo.",The profile menu/avatar should always reflect the most recently uploaded photo.,"Per the user, the old photo is still shown; not yet reproduced independently across 3 automated attempts (SPA nav, hard reload, and direct inspection of the profile dropdown, which has no image at all).",Low,Low,admin-panel profile stale-cache needs-verification needs-clarification
